year,university,1_list,final_grade,since_2010,city,CCAA,covid_format_change,diff_1_list,diff_final_grade,diff_1_list_final_grade,latitude,longitude
2016,u. rovira i virgili (reus),12.296,12.164,True,reus,Cataluña,0.0,0.06,0.056,0.132,41.155309,1.1053273
2016,u. autónoma de barcelona,12.348,12.185,True,barcelona,Cataluña,0.0,-0.046,-0.179,0.163,41.5025932,2.080056
2016,u. de barcelona-clínico,12.621,12.196,True,barcelona,Cataluña,0.0,-0.077,-0.446,0.425,41.39017434,2.15212588
2016,u. de zaragoza (campus huesca),12.588,12.236,True,huesca,Aragón,0.0,0.132,0.002,0.352,42.1414059,-0.4060896
2016,u. pompeu fabra (barcelona),12.62,12.264,True,barcelona,Cataluña,0.0,-0.012,-0.334,0.356,41.37921475,2.17941527
2016,u. de santiago de compostela,12.61,12.278,True,santiago de compostela,Galicia,0.0,0.278,0.1,0.332,42.88050025,-8.5457602
2016,u. de cantabria (santander),12.726,12.298,True,santander,Cantabria,0.0,0.154,0.12,0.428,43.4736983,-3.7859174
2016,u. de valladolid,12.592,12.3,True,valladolid,Castilla y León,0.0,0.152,-0.007,0.292,41.6105937,-4.6916619
2016,u. de salamanca,12.713,12.354,True,salamanca,Castilla y León,0.0,0.215,0.113,0.359,40.9666432,-5.6772757
2016,u. jaume i,12.754,12.376,True,castellon de la plana,C. Valenciana,0.0,0.18,0.056,0.378,39.9899483,-0.0664218
2016,u. de zaragoza (campus zaragoza),12.683,12.382,True,zaragoza,Aragón,0.0,0.136,-0.022,0.301,41.6421312,-0.90302271
2016,u. del país vasco (lejona),12.444,12.392,True,bilbao,País Vasco,0.0,0.176,0.172,0.052,43.3359821,-2.9768285
2016,u. de oviedo,12.762,12.404,True,oviedo,Asturias,0.0,0.144,0.062,0.358,43.3533657,-5.8687712
2016,urjc - campus alcorcón,12.62,12.451,True,madrid,C. Madrid,0.0,0.084,-0.004,0.169,40.3506324,-3.8437926
2016,u. miguel hernández (s. juan de alicante),12.848,12.501,True,alicante,C. Valenciana,0.0,0.204,0.063,0.347,38.39896277,-0.43477806
2016,u. de c-la mancha (campus c.real),12.749,12.517,True,ciudad real,Castilla-La Mancha,0.0,0.071,0.084,0.232,38.9918372,-3.9268263
2016,u. de c-la mancha (campus albacete),12.768,12.525,True,albacete,Castilla-La Mancha,0.0,0.074,0.101,0.243,38.4527362,-2.05363374
2016,u. de extremadura (badajoz),13.082,12.532,True,badajoz,Extremadura,0.0,0.242,0.172,0.55,38.8824069,-7.0194457
2016,u. de alcalá,12.575,12.532,True,alcalá,C. Madrid,0.0,0.032,0.06,0.043,40.4818396,-3.3644973
2016,u. de cádiz,12.831,12.55,True,cádiz,Andalucía,0.0,0.112,0.068,0.281,36.5340199,-6.3018987
2016,u. de valencia,12.856,12.584,True,valencia,C. Valenciana,0.0,0.082,0.07,0.272,39.4786642,-0.3627246
2016,u. complutense de madrid,12.742,12.599,True,madrid,C. Madrid,0.0,0.045,-0.098,0.143,40.4437398,-3.72614639
2016,u. de la laguna,12.888,12.603,True,la laguna,Canarias,0.0,0.034,0.023,0.285,28.4852475,-16.3126059
